Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
171010_Ip_Hela_ugi	181	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	182	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	183	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	184	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	185	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	186	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	187	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	188	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	189	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	190	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	191	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	192	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	193	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	194	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	195	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	196	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	197	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	198	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	199	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	200	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	201	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	202	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	203	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	204	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	205	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	206	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	207	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	208	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	209	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	210	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	211	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	212	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	213	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	214	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	215	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	216	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	217	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	218	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	219	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	220	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	221	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	222	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	223	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	224	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	225	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	226	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	227	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	228	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	229	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	230	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	231	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	232	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	233	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	234	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	235	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	236	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	237	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	238	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	239	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	240	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	241	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	242	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	243	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	244	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	245	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	246	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	247	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	248	0	0	0	0	0	0	NaN	0	0	
171010_Ip_Hela_ugi	249	0	0	0	0	0	0	NaN	0	0	
