MZ1,sumIntensity,Deviation, RMSD,CV~,PPM~,log2sumIntensity,ionsWithinErrTolerance
430.885,54805722,0.00418615313196991,0.00419161469538382,0.00097278252276542,9.71524451296728,25.7078231900629,954
430.889,54796638,0.000168702200908736,0.00023669259065595,5.49311999113013E-05,0.391521252361365,25.7075840448149,949
432.882,44250211,0.00421429622122931,0.00421989219897348,0.000974827116135843,9.73543880602407,25.3991809986824,956
432.886,43062032,0.000190367195949352,0.000249675608003918,5.76769630355107E-05,0.439762884337567,25.3599130628424,922
430.893,32645168,-0.00394795361600186,0.00395396089768281,0.000917628535444241,9.16225980928412,24.9603661301539,533
445.121,28341100,1.65456137975658E-06,0.000178331891032679,4.00636883835633E-05,0.00371710474175916,24.7563924187183,960
428.888,26887921,0.00419324434969198,0.00419857635783342,0.000978935131943844,9.77701486097064,24.6804548731619,953
428.892,26717195,0.0001748357223293,0.000239803135054425,5.59122196963085E-05,0.407645100233393,24.67126521349,944
430.894,24575638,-0.00464563176082275,0.00465258297644089,0.00107976280436596,10.7813795523325,24.5507255345918,455
432.891,24075904,-0.00464520689500498,0.00465127640824421,0.00107447979284708,10.730661748581,24.5210866334882,559
432.89,22223353,-0.00393882468893315,0.00396505109869488,0.000915957212373513,9.09890431502956,24.405573167326,432
445.125,18594560,-0.0041168264527813,0.00412259648650156,0.000926174583656684,9.24869745078641,24.148377274311,591
434.879,18072182,0.00427364610114785,0.00427974164606641,0.000984112727579672,9.82720734077261,24.1072673691153,948
434.883,16584874,0.000223134525505303,0.000278844975996398,6.41195063784148E-05,0.513090935965083,23.983364715815,854
445.117,16470234,0.00412441555468215,0.00413037460742647,0.000927921498412294,9.26591335465091,23.9733577164368,589
428.896,14656338,-0.00395032575055051,0.0039568802970546,0.000922581871139815,9.2104513694474,23.805021344136,496
428.897,13536521,-0.00465051615478642,0.00465718362509218,0.00108586306813281,10.8429673203273,23.6903536659773,494
429.094,13228970,-0.00426645333425749,0.0042724850366117,0.000995708986392481,9.94293402904139,23.6571974027942,952
445.116,12843143,0.00480046595282544,0.00480836326625897,0.00108023782784933,10.7847526326293,23.6144949691356,398
434.888,12823303,-0.0046208635007103,0.00462682203241238,0.00106392247999897,10.6254104521401,23.6122645804552,703
429.09,12147835,-0.000228777323658665,0.000282277673505175,6.57852254787697E-05,0.533168621171933,23.534195882316,876
519.14,10934521,-4.7935252613283E-05,0.00022182310243098,4.272895999407E-05,0.0923358874547963,23.3823866869697,916
445.126,10680721,-0.0047911333796718,0.0047991971494812,0.00107817759609816,10.7635442092167,23.3485057033732,396
519.145,10650666,-0.00509289870918223,0.0051000972377933,0.000982412865593514,9.81016615624196,23.344440311081,877
519.135,9787839,0.00499768662936695,0.0050048186047949,0.000964059526735981,9.62694988657469,23.2225589400701,839
429.085,9017539,0.00459933007814543,0.00460556410701711,0.0010733338944145,10.7189253368107,23.1043023268696,625
446.12,6539931,-7.36933479577585E-05,0.000287019019671095,6.43367405816806E-05,0.165187276871152,22.6408439838728,855
434.887,6249620,-0.00394249178876559,0.00398043877809342,0.000915289457561418,9.06555447453152,22.5753370405737,289
446.124,5209907,-0.0042322001519022,0.00424311544780101,0.000951115766227307,9.48660047857143,22.3128261890763,697
447.118,4803269,-0.000123728814521143,0.000249298576341307,5.57567902273053E-05,0.27672519227842,22.1955851761712,856
429.086,4788147,0.00392547052555548,0.00393320557408293,0.000916638993509323,9.14844699094234,22.1910360141945,363
431.897,4451202,-0.00440117018562544,0.00440910157486064,0.00102087916922096,10.1903235855434,22.0857635425443,896
447.122,4318821,-0.00427216211453565,0.00427952408393644,0.0009571358542706,9.55480185393618,22.0422060924531,759
446.115,4133515,0.00468902916035718,0.00469727272884616,0.00105291760134333,10.5108081108171,21.9789376914831,558
431.888,4059162,0.00447628483197151,0.00448379348222165,0.0010381735567129,10.3644575259593,21.9527504880572,801
447.113,3968138,0.00468044638220331,0.00468793009601283,0.00104847790660674,10.4681509645287,21.9200307685504,692
436.876,3760374,0.0043357249808798,0.0043443686369862,0.000994406999293512,9.92438353418316,21.8424447262037,857
433.894,3503016,-0.00441740827816319,0.00442579443578376,0.00102002781660428,10.1808466541671,21.7401661469783,859
433.885,3377633,0.00446590925155462,0.00447388417842624,0.00103111149957302,10.2928408485074,21.6875811485458,829
503.114,3206108,-0.00520772633269652,0.00521593323140154,0.00103674062379819,10.3509867201003,21.612391593831,680
436.88,3199407,0.000195197051030271,0.000290366802209637,6.64637137141614E-05,0.446797864471414,21.6093731002374,719
446.116,3176027,0.00415943781232806,0.0041695827356621,0.000934632216781345,9.32366875953353,21.5987917464778,419
436.885,3063079,-0.00453486826227091,0.00454286693990127,0.00103984208553051,10.3800044915044,21.5465511453497,696
503.109,3059365,-0.000199917743369899,0.000290085001833141,5.76585028498235E-05,0.397364673201829,21.54480080838,650
503.104,2823278,0.00481379241441267,0.00482211820892079,0.000958464267912911,9.56818553303625,21.4289397631046,606
431.893,2811522,-0.000257852214628772,0.000315792540915598,7.31182791693082E-05,0.59702800144659,21.4229199052538,584
430.093,2760785,-0.00428857123740323,0.00429902184416604,0.000999566305724372,9.97126490643472,21.396647109727,737
593.153,2758415,0.00587483022207668,0.00588521448170525,0.000992181813580679,9.90440952347317,21.3954080941244,719
520.134,2739949,0.00516260303886342,0.00517327194775062,0.000994593816366559,9.92552503559357,21.3857176091772,635
520.139,2733079,5.46059865898483E-05,0.000256949255202199,4.94001080916414E-05,0.104983449789091,21.3820957310737,611
