Mass	mmu	ppm	
632.26233	1.897	3.00
632.75037	2.531	4.00
633.29321	1.900	3.00
633.95038	2.536	4.00
634.20789	2.537	4.00
634.29572	2.537	4.00
634.75452	1.904	3.00
636.41907	2.546	4.00
636.73993	1.910	3.00
637.27417	1.912	3.00
638.33746	2.553	4.00
638.55792	2.554	4.00
639.73883	2.559	4.00
641.23950	1.924	3.00
641.68805	1.925	3.00
642.80115	2.571	4.00
643.21472	1.930	3.00
643.62671	2.575	4.00
645.17206	2.581	4.00
645.76654	2.583	4.00
647.88721	2.592	4.00
648.74390	2.595	4.00
650.70313	2.603	4.00
652.34729	2.609	4.00
652.88171	1.959	3.00
653.39783	1.960	3.00
653.40826	1.960	3.00
653.75775	2.615	4.00
653.85327	1.962	3.00
654.22565	2.617	4.00
654.56049	1.964	3.00
655.67169	2.623	4.00
656.54822	2.626	4.00
657.70331	2.631	4.00
660.83917	2.643	4.00
661.10535	1.983	3.00
661.20605	1.984	3.00
661.74078	1.985	3.00
662.73376	2.651	4.00
662.78821	1.988	3.00
663.74670	1.991	3.00
663.79199	2.655	4.00
664.62921	1.994	3.00
666.28259	1.999	3.00
667.75024	2.003	3.00
668.65204	2.006	3.00
671.33990	2.014	3.00
675.45038	2.026	3.00
676.66962	2.707	4.00
678.17987	2.035	3.00
678.59460	2.036	3.00
678.99677	2.716	4.00
683.08417	2.049	3.00
683.44940	2.050	3.00
684.72748	2.054	3.00
685.26099	2.056	3.00
686.21436	2.059	3.00
687.81812	2.063	3.00
690.66772	2.072	3.00
691.64783	2.767	4.00
691.80579	2.767	4.00
693.11572	2.079	3.00
695.31830	2.086	3.00
695.81787	2.087	3.00
696.10596	2.088	3.00
696.51422	2.090	3.00
697.80023	2.093	3.00
702.77844	2.108	3.00
703.14166	2.109	3.00
707.35138	2.122	3.00
707.68402	2.831	4.00
709.84857	2.130	3.00
711.15698	2.133	3.00
714.03235	2.856	4.00
715.77655	2.147	3.00
715.89008	2.148	3.00
717.61237	2.153	3.00
718.08417	2.154	3.00
718.63080	2.156	3.00
719.01825	2.876	4.00
719.17749	2.158	3.00
723.02454	2.169	3.00
726.19916	2.179	3.00
726.31470	2.179	3.00
728.21716	2.913	4.00
728.83179	2.186	3.00
729.20081	2.188	3.00
730.68500	2.192	3.00
733.72534	2.201	3.00
734.68939	2.204	3.00
734.70398	2.204	3.00
735.29980	2.206	3.00
735.69843	2.207	3.00
736.22882	2.945	4.00
737.19849	2.212	3.00
738.18256	2.215	3.00
740.24017	2.961	4.00
740.26813	2.221	3.00
740.69855	2.222	3.00
741.19763	2.224	3.00
752.69678	2.258	3.00
755.80261	2.267	3.00
756.15918	2.268	3.00
756.25262	2.269	3.00
757.25739	2.272	3.00
758.22015	2.275	3.00
761.00391	2.283	3.00
761.24701	3.045	4.00
761.77130	2.285	3.00
762.77203	2.288	3.00
764.63879	2.294	3.00
768.75867	2.306	3.00
771.19232	2.314	3.00
772.65723	3.091	4.00
772.69391	2.318	3.00
773.13452	2.319	3.00
773.66248	2.321	3.00
777.72040	2.333	3.00
785.62665	2.357	3.00
787.28601	2.362	3.00
789.61829	3.158	4.00
790.40076	3.162	4.00
793.49951	3.174	4.00
793.70746	2.381	3.00
794.26703	2.383	3.00
794.70648	2.384	3.00
794.88580	2.385	3.00
798.65436	2.396	3.00
801.82550	2.405	3.00
803.87952	2.412	3.00
804.08698	2.412	3.00
804.78510	3.219	4.00
815.08014	2.445	3.00
815.21558	2.446	3.00
826.70795	2.480	3.00
