MZ1,sumIntensity,Mean, Deviation,log2sumIntensity,ionsWithinErrTolerance
430.889,54796638,0.160098388662391,5.31661899653826E-05,25.7075840448149,949
432.886,43062032,0.175518554665302,5.74755523120203E-05,25.3599130628424,922
445.121,28341100,0.00158837892456631,3.05301728249197E-05,24.7563924187183,960
428.892,26717195,0.165044921878859,5.42852331413426E-05,24.67126521349,944
434.883,16584874,0.190556884781529,6.64023606252208E-05,23.983364715815,854
429.09,12147835,-0.20040893552499,6.98002800245168E-05,23.534195882316,876
519.14,10934521,-0.0439086913937672,4.50722277152482E-05,23.3823866869697,916
446.12,6537785,-0.067946777347629,4.60414558655236E-05,22.6403705030929,854
447.118,4803269,-0.105911865230098,5.3200211821927E-05,22.1955851761712,856
436.88,3199407,0.140346679690765,6.0620960594499E-05,21.6093731002374,719
503.109,3059365,-0.129946533190434,5.46970503875466E-05,21.54480080838,650
431.893,2811522,-0.150585693343203,5.8239358476391E-05,21.4229199052538,584
520.139,2733079,0.0333642578063973,4.03400039666176E-05,21.3820957310737,611
593.159,2716471,-0.0561274414004629,5.82291824808465E-05,21.373302214758,708
432.887,2582904,-0.0214526367187773,9.69588696958586E-06,21.3005625924558,61
430.089,2391026,-0.0777392578115723,5.59399712083608E-05,21.1891983873148,681
434.884,2243261,-0.0486926269550167,2.13861230029926E-05,21.0971660548842,131
433.89,2114800,-0.129335937492783,5.22486507857321E-05,21.0120898011557,530
431.892,2049769,0.121171386720391,4.77442904720688E-05,20.9670299027952,402
430.89,1928555,-0.00996948242141116,4.27249222966649E-06,20.8790888597533,35
433.889,1822698,0.129069580073633,5.16773604724808E-05,20.7976441126019,450
503.108,1740760,0.0932136230455285,3.77679837338447E-05,20.7312858804824,330
418.772,1696191,0.116113525396258,4.94768359085125E-05,20.6938672033985,653
429.089,1678645,0.0359582519532751,1.5184154212573E-05,20.6788657305752,111
447.348,1519742,-0.0959714355551569,4.75288192655133E-05,20.5353949937079,629
431.087,1383988,-0.125806396478765,5.09177762838563E-05,20.400400003328,515
521.137,1323942,-0.0616923827831215,3.90578021933596E-05,20.3364084904533,522
521.136,1300581,0.0749091797001711,3.56538076449812E-05,20.3107248222454,388
429.895,1242803,0.11785644532165,4.74781066222152E-05,20.2451661984198,504
431.086,1226487,0.0979372558535943,4.14120685433242E-05,20.2261005116299,455
429.896,1181540,-0.109509277350128,4.59921240839447E-05,20.1722370406375,426
428.893,1164061,-0.0118090820301404,5.19915580683996E-06,20.1507352307419,41
419.316,1089039,0.114602294936105,5.04440235554982E-05,20.0546241892184,550
436.881,995860,-0.0723039550708791,2.9454949911332E-05,19.9255834140171,258
430.088,959231,0.0606513671821745,2.41195563050896E-05,19.8715187583178,240
430.888,925988,0.00177392578143554,5.53073406301765E-07,19.8206339719691,9
520.14,895020,-0.0348803710900256,2.26533591737768E-05,19.7715603954488,274
418.773,892638,-0.0922893066485813,3.67539024994401E-05,19.7677156985088,325
667.178,857160,-0.0195146484363704,2.89819846152192E-05,19.7092050016,415
432.885,828101,0.00234619140633185,7.37869739575148E-07,19.659447212346,10
519.139,801529,0.0130966796870098,6.56661176655314E-06,19.6123951936929,50
445.12,794696,0.00330932617180224,1.56451910731167E-06,19.600043557264,17
446.767,792148,0.0558742675801795,3.28760280017657E-05,19.5954104740833,503
435.886,747163,0.082748046865504,3.31899424751451E-05,19.5110634880521,395
435.887,742345,-0.0768234863282942,3.32641788125736E-05,19.501730300249,373
504.108,729089,0.000283203123444764,3.21230363845801E-05,19.4757354097317,381
593.158,721409,0.043735839840565,1.81604411588496E-05,19.4604578961406,207
419.317,702389,-0.0783227539086511,3.06554239999724E-05,19.4219107256744,331
447.117,687057,0.0379855957008317,1.66529105291507E-05,19.3900702681033,124
467.802,614526,0.0280261230418546,1.78195229160981E-05,19.2291145253562,241
594.159,608986,0.000954101565184828,2.8376358032242E-05,19.216049536784,329
446.119,582588,0.0267553710912125,1.0604804156702E-05,19.1521164599542,91
667.177,531910,0.0326538085885204,2.41286456571269E-05,19.0208226345658,251
472.772,502818,0.0267675781274193,2.0125333667264E-05,18.9396767710646,281
