Scan	BasePeak	RT	MaxIntensity	CumulativeIntensity
151	430.888977050781	1.45787666666667	65292.6484375	12423583.8069153
153	430.889190673828	1.471855	64532.39453125	12526523.2785645
154	430.889251708984	1.481815	68467.1171875	12630908.3186951
156	430.889129638672	1.495875	59064.26953125	12725122.0983276
158	430.889099121094	1.50935666666667	66296.5546875	12829800.7210083
159	430.889007568359	1.51933	63538.421875	12932846.7541504
160	430.889068603516	1.52984666666667	60414.71484375	13026565.5680542
161	430.888916015625	1.54030666666667	49906.04296875	13107496.7216797
162	430.889099121094	1.55090333333333	51357.63671875	13193681.3617554
164	430.889190673828	1.56485666666667	84068.8515625	13323139.3337708
165	430.888732910156	1.57483166666667	77037.3125	13447826.7013855
166	430.88916015625	1.58532333333333	59115.78125	13546570.415802
167	430.889038085938	1.59582	56967.64453125	13635829.4526672
168	430.889221191406	1.60633166666667	55458.1484375	13725669.5805054
169	430.889221191406	1.616775	54475.15234375	13810981.2741394
170	430.889099121094	1.627275	61911.09375	13910133.7733459
171	430.88916015625	1.63778666666667	69828.09375	14018526.1874084
172	430.889129638672	1.64831	59678.03125	14119142.9881287
173	430.889251708984	1.658745	54073.68359375	14207932.8759766
174	430.88916015625	1.66923666666667	65333.20703125	14308055.5737915
175	430.889007568359	1.67973	49138.00390625	14390583.0906067
177	430.888946533203	1.69395833333333	61254.5546875	14485788.5014343
178	430.889251708984	1.70392666666667	72870.9765625	14598049.7664185
179	430.888977050781	1.71441333333333	61107.46484375	14698238.1863709
180	430.888946533203	1.72506666666667	74407.046875	14823947.9228821
181	430.889312744141	1.73539666666667	56525.18359375	14915281.2124939
182	430.889099121094	1.745885	69135.4609375	15025887.5744934
183	430.888977050781	1.75636666666667	60600.87890625	15119199.7628479
185	430.889373779297	1.77044833333333	60442.8671875	15213515.3807678
186	430.889068603516	1.78041666666667	61126.29296875	15308568.0912476
187	430.889038085938	1.79089166666667	62548.12890625	15405739.7293701
188	430.889007568359	1.80147833333333	71020.6171875	15519307.5877991
189	430.889038085938	1.81187166666667	64248.015625	15624647.8561401
190	430.889282226563	1.822365	60417.46875	15722282.2850952
191	430.88916015625	1.83286666666667	75676.5625	15847850.0448914
192	430.88916015625	1.843425	73323.7421875	15964580.4450989
193	430.889221191406	1.85385166666667	100573.5234375	16127736.801239
194	430.889190673828	1.86434	98120.9453125	16283142.7385254
195	430.888366699219	1.87486	82503.7890625	16419574.1044922
196	430.888793945313	1.88432833333333	86236.546875	16552896.5152588
197	430.889434814453	1.89363833333333	77081.203125	16677478.9733276
199	430.888549804688	1.9077	66142.7890625	16782582.7235107
200	430.888793945313	1.916865	66039.5625	16885166.8634644
201	430.888732910156	1.92565833333333	57712.51953125	16978772.7197266
202	430.889038085938	1.93494333333333	62641.0390625	17085591.4483032
203	430.889251708984	1.945415	54752.6171875	17171902.980835
204	430.888885498047	1.95595666666667	49539.421875	17245554.3988037
205	430.888793945313	1.96533333333333	45541.82421875	17321574.3833618
206	430.888885498047	1.97471	66408.734375	17428077.4706421
207	430.888732910156	1.98424666666667	81303.078125	17555070.8843384
208	430.889282226563	1.99394	49377.33984375	17635860.907959
209	430.888977050781	2.00437166666667	47704.875	17712339.6367798
210	430.88916015625	2.01373666666667	46423.67578125	17784955.1866455
211	430.889892578125	2.02316833333333	40729.05859375	17850123.0192566
215	430.888793945313	2.04448666666667	36622.26953125	17912124.4588928
216	430.88916015625	2.05327166666667	40268.984375	17977547.2843933
217	430.888366699219	2.06270833333333	54087.390625	18067199.5726013
218	430.889312744141	2.07209333333333	45939.0546875	18144888.7145386
219	430.889038085938	2.08252666666667	55898.6328125	18232022.0767212
220	430.889221191406	2.09304	52538.72265625	18314199.0742798
221	430.888977050781	2.10351833333333	55291.77734375	18401708.4605713
222	430.889282226563	2.114065	45695.11328125	18475663.7669067
223	430.889678955078	2.12451	36635.66015625	18534226.8645325
224	430.889251708984	2.13500833333333	51351.19921875	18613044.1315918
225	430.889129638672	2.145505	56659.70703125	18707805.7255859
226	430.88916015625	2.15603	78410.4765625	18829180.3717041
227	430.889038085938	2.16647666666667	55306.1875	18919881.0288086
228	430.889068603516	2.17695166666667	56331.1640625	19009654.8574524
229	430.889373779297	2.18745833333333	56369.0625	19098084.7383118
230	430.888824462891	2.19798833333333	51504.97265625	19178742.3978577
231	430.889129638672	2.20843666666667	68998.8359375	19291153.191925
232	430.888946533203	2.21892833333333	51125.00390625	19372160.8736877
233	430.889007568359	2.229505	65104.6875	19474668.9566956
234	430.888793945313	2.23994833333333	36084.4140625	19530060.9253845
235	430.889068603516	2.249435	35480.90234375	19588152.2954407
236	430.888885498047	2.258975	31326.732421875	19639898.2462769
237	430.888641357422	2.26847833333333	30481.291015625	19688677.1676025
238	430.888549804688	2.27808833333333	37869.21484375	19746593.7815857
239	430.888641357422	2.28757666666667	25488.650390625	19792857.7365723
240	430.888641357422	2.29717666666667	32772.19140625	19847154.8535767
241	430.888977050781	2.30667	30186.1484375	19896448.3228149
243	430.888793945313	2.31988166666667	33076.87109375	19949621.8726807
244	430.88916015625	2.32893166666667	27664.470703125	19997548.7116699
245	430.888885498047	2.33849833333333	26069.5078125	20040338.1954956
246	430.888732910156	2.348095	24598.41796875	20084261.8347473
247	430.888641357422	2.35777666666667	23287.70703125	20123649.39151
250	430.888732910156	2.37455333333333	28430.576171875	20170144.6934509
253	430.889221191406	2.391125	50900.62109375	20249901.5954895
254	430.889129638672	2.401185	48131.1640625	20325349.5019531
256	430.889129638672	2.41508666666667	43519.2421875	20394511.8785095
257	430.888885498047	2.42512	30029.8671875	20443608.6702576
258	430.88916015625	2.43456833333333	30638.794921875	20492259.4720154
259	430.888641357422	2.44409833333333	34709.06640625	20549381.2239685
260	430.888885498047	2.453665	48567.72265625	20625410.4437561
262	430.888732910156	2.46680833333333	42863.00390625	20694048.3729553
263	430.889190673828	2.47582666666667	62398.34765625	20795970.9259949
264	430.889343261719	2.486315	76641.484375	20917800.6682739
265	430.889556884766	2.49684666666667	54366.0546875	21004931.3044434
266	430.888732910156	2.50728666666667	34723.73046875	21065482.5772095
267	430.888641357422	2.51716	47818.86328125	21141298.246521
269	430.888885498047	2.52997	36149.69140625	21198980.8505859
270	430.888458251953	2.53908	49734.9765625	21277487.567627
272	430.888793945313	2.55230833333333	38633.57421875	21339599.6125793
274	430.888885498047	2.564995	33053.8046875	21393225.4145813
275	430.88916015625	2.57414	33051.2734375	21447976.9223328
277	430.888641357422	2.58715833333333	32087.236328125	21499898.3165588
280	430.888977050781	2.60345	49324.0078125	21576701.9997253
281	430.888885498047	2.61245833333333	58986.81640625	21668848.5256042
283	430.888793945313	2.62558	43350.73828125	21736732.3373108
284	430.888793945313	2.63473166666667	44732.9921875	21809013.1357727
