MZ	sumIntensity
481.818	12188
504.106	12160
605.576	12126
506.105	12090
573.625	12076
549.813	12014
571.624	12014
555.593	11961
526.589	11946
507.695	11923
552.614	11916
579.125	11887
479.7	11717
578.129	11708
456.701	11599
446.698	11590
522.707	11506
547.816	11429
496.661	11404
434.752	11403
552.729	11293
578.609	11234
695.563	11234
421.834	11183
538.649	11168
520.736	11144
449.114	11100
446.72	11081
412.763	11073
410.724	11026
405.786	10988
428.687	10957
572.698	10927
556.659	10912
635.619	10868
557.641	10804
522.139	10750
432.881	10720
617.598	10687
664.511	10671
448.119	10644
630.631	10627
743.196	10605
494.622	10595
418.759	10585
492.763	10562
420.81	10530
474.762	10514
460.769	10510
617.656	10478
530.644	10299
663.64	10212
433.811	10186
426.756	10164
549.814	10160
725.552	10149
468.803	10147
461.739	10129
695.543	10008
529.597	9987
490.738	9973
518.777	9965
660.516	9963
430.094	9896
507.696	9839
430.896	9715
400.692	9692
683.525	9597
597.628	9541
443.806	9508
431.894	9449
591.636	9444
524.686	9416
430.883	9403
496.681	9379
557.639	9350
416.784	9333
438.821	9284
583.645	9282
432.88	9264
628.59	9245
522.696	9242
448.753	9172
473.732	9154
532.74	9035
416.743	8934
617.658	8921
628.651	8908
482.629	8898
460.659	8871
510.595	8830
550.703	8819
435.888	8782
607.614	8749
539.668	8741
741.194	8703
638.516	8663
544.599	8640
667.579	8637
465.806	8617
495.721	8615
492.762	8501
927.402	8482
611.641	8427
478.669	8392
609.572	8343
604.576	8334
604.566	8309
816.218	8210
558.616	8210
556.66	8193
416.777	8192
651.601	8156
555.652	8149
555.687	8134
533.191	8131
670.175	8120
607.574	8120
468.706	8105
449.751	8039
459.173	7955
635.505	7938
506.724	7926
621.526	7899
528.606	7840
669.173	7827
582.674	7824
663.641	7824
593.625	7786
422.758	7772
552.728	7755
482.757	7744
699.544	7689
431.088	7673
496.68	7652
554.631	7646
619.658	7640
668.519	7629
554.62	7537
570.58	7503
481.855	7462
816.217	7454
769.52	7453
522.715	7433
598.657	7402
909.372	7401
927.403	7397
476.71	7366
495.719	7357
636.492	7353
624.613	7329
582.675	7322
627.672	7215
699.546	7198
630.593	7173
576.636	7171
574.631	7164
522.708	7152
406.148	7143
709.579	7135
664.512	7134
622.613	7123
743.193	7096
635.618	7065
445.745	7039
494.666	7038
511.733	7018
932.357	7012
603.58	7006
614.642	7001
577.61	6997
769.519	6988
907.372	6980
641.495	6977
438.876	6973
553.661	6971
761.542	6923
441.809	6906
633.63	6901
435.811	6895
614.643	6867
557.629	6862
492.741	6825
545.608	6795
473.772	6777
613.658	6767
679.531	6762
651.145	6752
593.624	6731
467.761	6729
412.758	6729
742.195	6717
636.517	6703
782.462	6702
547.818	6698
709.521	6654
472.678	6632
743.197	6567
550.75	6555
572.6	6479
769.521	6467
617.597	6456
570.617	6436
538.666	6424
456.719	6397
604.569	6375
514.633	6335
741.2	6274
541.7	6260
571.591	6257
417.695	6248
445.737	6238
590.611	6236
531.593	6217
727.591	6173
444.718	6158
494.623	6152
727.59	6098
607.565	6095
448.752	6090
766.468	6085
501.687	6063
638.517	6048
439.808	6042
462.74	6038
572.697	5999
576.634	5983
636.515	5982
914.327	5911
496.662	5882
429.735	5859
568.66	5843
461.817	5827
810.494	5814
405.788	5781
552.74	5746
551.681	5725
487.707	5725
440.753	5710
628.592	5692
540.687	5673
552.73	5670
591.592	5644
507.742	5641
445.738	5632
472.724	5588
613.656	5573
639.562	5571
502.136	5570
610.186	5561
695.541	5561
591.591	5551
424.159	5543
507.694	5541
593.161	5538
838.678	5486
719.565	5469
476.709	5457
492.74	5443
699.545	5441
496.655	5429
574.686	5423
679.613	5422
661.625	5385
617.677	5373
468.707	5371
607.212	5370
461.701	5362
428.746	5332
514.672	5325
711.538	5322
424.776	5318
482.756	5307
475.76	5301
570.664	5301
471.753	5285
566.65	5267
495.672	5253
470.735	5253
468.802	5236
574.632	5233
819.729	5204
471.754	5203
511.626	5187
679.532	5183
636.493	5177
553.66	5167
578.608	5159
583.647	5136
816.215	5127
523.716	5102
477.823	5088
633.61	5086
401.85	5078
815.219	5064
731.756	5039
631.716	5020
514.671	4994
647.645	4948
685.78	4926
484.827	4917
432.085	4902
439.08	4895
685.206	4893
660.517	4878
554.623	4872
522.14	4869
632.608	4866
489.71	4856
615.65	4846
809.643	4845
521.609	4835
570.616	4833
745.671	4816
496.66	4801
791.688	4800
468.185	4800
632.588	4800
673.249	4798
778.669	4797
669.178	4790
505.656	4780
494.664	4771
429.897	4764
468.683	4754
825.694	4747
782.761	4736
415.792	4725
555.615	4722
430.725	4721
788.734	4719
422.791	4717
806.25	4696
889.235	4696
568.685	4693
518.779	4682
434.889	4676
532.738	4667
683.589	4653
639.501	4639
801.83	4638
781.703	4628
470.792	4624
617.659	4612
877.341	4603
440.756	4597
550.59	4595
559.636	4594
816.216	4593
572.601	4592
715.479	4588
549.815	4584
651.581	4575
717.516	4566
423.75	4560
571.587	4558
550.749	4543
929.402	4541
553.612	4534
621.653	4524
538.665	4512
667.581	4511
717.515	4485
743.192	4484
695.544	4482
523.678	4480
556.64	4466
568.684	4463
600.686	4444
505.706	4439
783.744	4437
744.73	4421
652.148	4417
452.871	4410
810.492	4407
980.651	4405
686.726	4405
832.069	4403
551.621	4380
636.516	4372
445.724	4361
474.76	4353
749.67	4329
449.79	4327
617.596	4306
416.742	4290
702.24	4290
525.603	4288
572.641	4285
994.642	4284
571.588	4202
624.614	4202
955.61	4199
706.693	4192
447.346	4191
698.706	4188
617.599	4172
940.653	4171
709.522	4169
551.622	4168
865.727	4166
717.517	4162
533.193	4154
627.674	4151
808.243	4149
533.611	4148
461.741	4130
458.766	4124
731.773	4123
431.093	4118
400.693	4113
556.658	4112
970.673	4110
657.55	4104
432.892	4102
843.689	4098
651.59	4097
414.84	4089
806.633	4081
824.199	4076
708.767	4076
807.66	4074
448.12	4072
514.634	4061
767.437	4050
729.761	4041
932.356	4038
436.882	4038
683.59	4030
788.765	4025
589.643	4024
836.187	4019
508.212	4017
709.582	4016
705.708	4012
826.698	4002
631.715	3972
907.371	3968
699.506	3966
856.694	3964
758.285	3957
749.781	3955
610.185	3954
587.563	3952
603.581	3948
835.122	3941
426.755	3939
740.199	3937
757.685	3934
738.79	3933
743.708	3931
522.659	3929
835.695	3923
591.637	3923
472.677	3913
715.478	3892
1004.177	3882
732.247	3882
775.758	3879
599.784	3878
751.739	3877
752.702	3874
703.748	3867
660.758	3865
808.694	3860
727.74	3859
806.701	3850
606.769	3847
768.697	3837
662.706	3834
538.692	3831
463.808	3824
763.224	3823
577.609	3823
745.563	3822
779.69	3818
828.718	3817
713.787	3812
639.563	3809
630.59	3807
828.332	3804
630.63	3794
703.75	3787
438.82	3786
740.748	3782
743.187	3773
808.663	3771
676.742	3771
695.566	3770
572.696	3767
816.709	3767
656.724	3767
735.791	3756
808.789	3753
726.179	3751
720.742	3747
675.785	3744
480.67	3741
622.611	3738
618.824	3733
762.178	3730
648.749	3730
652.803	3726
591.635	3726
427.68	3725
449.829	3724
679.702	3723
848.662	3722
474.753	3718
772.132	3718
687.151	3718
918.21	3717
829.701	3714
748.184	3714
733.693	3713
667.736	3712
687.64	3709
688.696	3708
633.611	3705
448.751	3704
771.21	3701
778.167	3698
730.889	3694
414.786	3693
761.728	3691
462.741	3689
754.199	3686
758.751	3686
828.677	3684
776.213	3681
560.723	3680
792.145	3680
948.701	3679
914.324	3677
647.644	3672
671.743	3668
650.744	3668
759.787	3667
456.745	3666
521.69	3657
675.802	3656
439.782	3653
702.711	3651
726.786	3646
821.669	3642
723.813	3641
820.641	3639
779.782	3638
657.815	3636
577.729	3635
734.702	3634
481.819	3633
853.641	3633
568.602	3632
475.769	3630
697.812	3629
812.665	3629
731.679	3628
651.673	3628
873.63	3625
869.639	3625
980.26	3624
741.193	3623
661.769	3623
709.581	3623
677.655	3622
914.321	3620
764.152	3616
543.69	3616
589.566	3615
885.224	3614
723.681	3613
572.744	3612
737.712	3610
878.786	3608
755.65	3606
903.518	3601
935.521	3599
806.669	3595
411.756	3590
599.766	3589
793.786	3588
623.281	3588
732.718	3586
694.724	3586
620.66	3582
808.692	3581
851.681	3580
712.742	3579
642.774	3579
635.504	3575
695.667	3574
677.684	3570
729.733	3570
705.767	3570
781.195	3568
734.242	3567
826.097	3567
807.751	3560
807.213	3556
899.092	3554
856.64	3554
795.684	3554
798.687	3545
691.675	3545
691.163	3542
794.758	3542
889.233	3540
738.822	3540
578.763	3536
790.728	3531
722.745	3530
791.683	3525
639.773	3524
733.691	3524
523.727	3524
805.653	3523
722.718	3517
841.687	3515
733.18	3514
746.735	3514
713.536	3507
679.757	3505
676.722	3504
677.799	3502
676.782	3502
797.667	3502
466.816	3500
740.263	3500
727.701	3497
523.668	3495
679.711	3494
656.755	3492
818.688	3492
659.227	3491
601.782	3491
490.735	3490
704.247	3487
775.734	3485
746.743	3482
522.773	3480
419.318	3478
460.768	3477
552.737	3474
746.523	3473
787.218	3472
743.742	3472
667.2	3470
702.675	3467
828.724	3465
684.785	3463
793.318	3462
523.669	3460
775.767	3459
462.749	3456
749.679	3455
772.214	3452
919.28	3452
638.744	3451
929.403	3451
730.815	3450
657.79	3449
467.804	3448
555.688	3446
723.227	3439
752.677	3435
551.682	3435
699.547	3431
476.749	3429
801.719	3429
751.743	3426
