Scan	ContainScans	BasePeak	MaxIntensity	RT	MostIntenseMass2Charge	CumulativeIntensity	TotalScans
144	438	430.888916015625	71968	1.38492333333333	430.888916015625	11386461	6024
145	528	430.889282226563	73729	1.39487166666667	430.889312744141	11501688	6074
146	446	430.889099121094	67805	1.40537666666667	430.889038085938	11606273	6120
147	491	430.889068603516	74509	1.41593166666667	430.889099121094	11720891	6172
148	497	430.889099121094	71061	1.42635166666667	430.889129638672	11831835	6221
149	487	430.88916015625	61808	1.43685	430.889190673828	11933265	6270
150	441	430.889099121094	78461	1.44735	430.889129638672	12055737	6312
151	479	430.888977050781	65292	1.45787666666667	430.888977050781	12158837	6362
153	447	430.889190673828	64532	1.471855	430.889221191406	12257651	6405
154	369	430.889251708984	68467	1.481815	430.889312744141	12361598	6447
156	470	430.889129638672	59064	1.495875	430.889190673828	12452561	6492
158	417	430.889099121094	66296	1.50935666666667	430.88916015625	12556811	6534
159	477	430.889007568359	63538	1.51933	430.889068603516	12658879	6580
160	387	430.889068603516	60414	1.52984666666667	430.889129638672	12751099	6624
161	475	430.888916015625	49906	1.54030666666667	430.888885498047	12830444	6667
162	475	430.889099121094	51357	1.55090333333333	430.889068603516	12915324	6710
164	386	430.889190673828	84068	1.56485666666667	430.889221191406	13043924	6758
165	435	430.888732910156	77037	1.57483166666667	430.889068603516	13167642	6816
166	500	430.88916015625	59115	1.58532333333333	430.88916015625	13264951	6864
167	435	430.889038085938	56967	1.59582	430.889068603516	13352088	6909
168	492	430.889221191406	55458	1.60633166666667	430.889221191406	13438994	6954
169	471	430.889221191406	54475	1.616775	430.889190673828	13522552	7003
170	469	430.889099121094	61911	1.627275	430.889129638672	13618789	7053
171	487	430.88916015625	69828	1.63778666666667	430.889129638672	13726636	7095
172	449	430.889129638672	59678	1.64831	430.889190673828	13825191	7146
173	435	430.889251708984	54073	1.658745	430.889221191406	13911386	7196
174	479	430.88916015625	65333	1.66923666666667	430.889221191406	14009972	7239
175	443	430.889007568359	49138	1.67973	430.889373779297	14088026	7285
177	390	430.888946533203	61254	1.69395833333333	430.889404296875	14182360	7331
178	441	430.889251708984	72870	1.70392666666667	430.889312744141	14291475	7374
179	523	430.888977050781	61107	1.71441333333333	430.888946533203	14388672	7417
180	387	430.888946533203	74407	1.72506666666667	430.889221191406	14512812	7464
181	466	430.889312744141	56525	1.73539666666667	430.889373779297	14603526	7510
182	412	430.889099121094	69135	1.745885	430.889129638672	14710906	7555
183	496	430.888977050781	60600	1.75636666666667	430.88916015625	14802490	7602
185	435	430.889373779297	60442	1.77044833333333	430.889404296875	14896131	7646
186	413	430.889068603516	61126	1.78041666666667	430.889282226563	14988385	7691
187	516	430.889038085938	62548	1.79089166666667	430.889038085938	15084921	7740
188	450	430.889007568359	71020	1.80147833333333	430.889068603516	15196472	7788
189	452	430.889038085938	64248	1.81187166666667	430.889038085938	15299887	7836
190	449	430.889282226563	60417	1.822365	430.889251708984	15397518	7886
191	445	430.88916015625	75676	1.83286666666667	430.889251708984	15521171	7939
192	438	430.88916015625	73323	1.843425	430.889282226563	15636910	7991
193	510	430.889221191406	100573	1.85385166666667	430.889251708984	15798820	8057
194	438	430.889190673828	98120	1.86434	430.88916015625	15950761	8114
195	463	430.888366699219	82503	1.87486	430.888641357422	16086235	8237
196	472	430.888793945313	86236	1.88432833333333	430.889007568359	16217460	8330
197	426	430.889434814453	77081	1.89363833333333	430.889434814453	16341504	8381
199	411	430.888549804688	66142	1.9077	430.888824462891	16444419	8489
200	446	430.888793945313	66039	1.916865	430.888916015625	16546119	8639
201	502	430.888732910156	57712	1.92565833333333	430.888916015625	16636811	8773
202	491	430.889038085938	62641	1.93494333333333	430.889038085938	16740899	8820
203	474	430.889251708984	54752	1.945415	430.889404296875	16825880	8863
204	687	430.888885498047	49539	1.95595666666667	430.889282226563	16897676	9068
205	516	430.888793945313	45541	1.96533333333333	430.889129638672	16971698	9235
206	447	430.888885498047	66408	1.97471	430.888916015625	17075040	9380
207	537	430.888732910156	81303	1.98424666666667	430.888671875	17202031	9444
208	516	430.889282226563	49377	1.99394	430.8896484375	17280053	9483
209	540	430.888977050781	47704	2.00437166666667	430.88916015625	17354687	9639
210	528	430.88916015625	46423	2.01373666666667	430.889251708984	17425540	9816
211	542	430.889892578125	40729	2.02316833333333	430.890014648438	17488960	9877
215	662	430.888793945313	36622	2.04448666666667	430.889068603516	17547714	10078
216	598	430.88916015625	40268	2.05327166666667	430.889099121094	17612534	10251
217	420	430.888366699219	54087	2.06270833333333	430.888580322266	17699317	10332
218	524	430.889312744141	45939	2.07209333333333	430.889526367188	17776118	10375
219	425	430.889038085938	55898	2.08252666666667	430.889251708984	17861936	10421
220	562	430.889221191406	52538	2.09304	430.889434814453	17941524	10466
221	467	430.888977050781	55291	2.10351833333333	430.889373779297	18026978	10504
222	427	430.889282226563	45695	2.114065	430.889434814453	18099975	10541
223	592	430.889678955078	36635	2.12451	430.889678955078	18157047	10584
224	406	430.889251708984	51351	2.13500833333333	430.889251708984	18234459	10630
225	474	430.889129638672	56659	2.145505	430.889129638672	18327925	10688
226	511	430.88916015625	78410	2.15603	430.88916015625	18446385	10733
227	445	430.889038085938	55306	2.16647666666667	430.889190673828	18536100	10775
228	410	430.889068603516	56331	2.17695166666667	430.88916015625	18624668	10816
229	434	430.889373779297	56369	2.18745833333333	430.889312744141	18711439	10858
230	464	430.888824462891	51504	2.19798833333333	430.88916015625	18789626	10905
231	492	430.889129638672	68998	2.20843666666667	430.889129638672	18900491	10951
232	451	430.888946533203	51125	2.21892833333333	430.88916015625	18981101	10994
233	431	430.889007568359	65104	2.229505	430.888916015625	19081420	11035
234	565	430.888793945313	36084	2.23994833333333	430.888854980469	19136112	11230
235	667	430.889068603516	35480	2.249435	430.889099121094	19192837	11444
236	643	430.888885498047	31326	2.258975	430.889007568359	19241272	11647
237	701	430.888641357422	30481	2.26847833333333	430.889129638672	19288955	11836
238	538	430.888549804688	37869	2.27808833333333	430.888977050781	19345187	12008
239	735	430.888641357422	25488	2.28757666666667	430.889038085938	19389814	12203
240	662	430.888641357422	32772	2.29717666666667	430.889007568359	19443062	12389
241	612	430.888977050781	30186	2.30667	430.889099121094	19491623	12544
243	659	430.888793945313	33076	2.31988166666667	430.889221191406	19542923	12710
244	644	430.88916015625	27664	2.32893166666667	430.889068603516	19588429	12892
245	610	430.888885498047	26069	2.33849833333333	430.889190673828	19628994	13062
246	752	430.888732910156	24598	2.348095	430.889007568359	19670397	13229
247	676	430.888641357422	23287	2.35777666666667	430.889038085938	19708615	13413
250	651	430.888732910156	28430	2.37455333333333	430.889099121094	19753774	13602
253	456	430.889221191406	50900	2.391125	430.889221191406	19832975	13653
254	485	430.889129638672	48131	2.401185	430.889099121094	19906955	13699
256	438	430.889129638672	43519	2.41508666666667	430.889190673828	19974866	13742
257	574	430.888885498047	30029	2.42512	430.888946533203	20023961	13928
258	580	430.88916015625	30638	2.43456833333333	430.889129638672	20072005	14101
259	544	430.888641357422	34709	2.44409833333333	430.889099121094	20128398	14265
260	533	430.888885498047	48567	2.453665	430.888916015625	20203658	14427
262	602	430.888732910156	42863	2.46680833333333	430.888854980469	20269746	14593
263	491	430.889190673828	62398	2.47582666666667	430.889129638672	20369132	14637
264	440	430.889343261719	76641	2.486315	430.889312744141	20489629	14684
265	478	430.889556884766	54366	2.49684666666667	430.889556884766	20574752	14720
266	670	430.888732910156	34723	2.50728666666667	430.889221191406	20633241	14892
267	730	430.888641357422	47818	2.51716	430.889007568359	20707816	15083
269	614	430.888885498047	36149	2.52997	430.888916015625	20764321	15249
270	656	430.888458251953	49734	2.53908	430.888916015625	20841610	15425
272	642	430.888793945313	38633	2.55230833333333	430.888946533203	20901392	15579
274	498	430.888885498047	33053	2.564995	430.889007568359	20953311	15737
275	646	430.88916015625	33051	2.57414	430.889099121094	21007424	15905
277	482	430.888641357422	32087	2.58715833333333	430.888946533203	21056683	16034
280	596	430.888977050781	49324	2.60345	430.889068603516	21131266	16211
281	648	430.888885498047	58986	2.61245833333333	430.888977050781	21221223	16392
283	622	430.888793945313	43350	2.62558	430.889282226563	21287596	16561
284	590	430.888793945313	44732	2.63473166666667	430.889373779297	21358490	16711
285	590	430.889434814453	32167	2.64418166666667	430.889343261719	21412267	16880
286	573	430.888793945313	34160	2.65374	430.889190673828	21466386	17035
288	573	430.88916015625	40819	2.66680333333333	430.889343261719	21534091	17194
289	670	430.889434814453	49541	2.675915	430.889404296875	21608565	17369
290	559	430.888977050781	33718	2.68539833333333	430.889312744141	21658812	17521
291	597	430.888793945313	32643	2.69497	430.889282226563	21710874	17692
292	696	430.888885498047	31452	2.704475	430.889221191406	21763992	17863
295	640	430.889343261719	30642	2.72149	430.889221191406	21814598	18050
296	748	430.88916015625	35185	2.73045	430.889251708984	21869575	18206
297	562	430.889068603516	30045	2.74007833333333	430.889190673828	21916395	18350
298	683	430.888732910156	31062	2.74990166666667	430.889221191406	21964778	18520
299	655	430.889251708984	31118	2.759065	430.889282226563	22013807	18722
300	694	430.889343261719	33097	2.76859666666667	430.889434814453	22064401	18894
301	693	430.888793945313	52382	2.77814166666667	430.889312744141	22143315	19084
302	551	430.888977050781	33182	2.78770333333333	430.889312744141	22195114	19240
303	575	430.889068603516	33720	2.79718333333333	430.889312744141	22246674	19384
304	632	430.888977050781	35061	2.806765	430.889526367188	22297745	19566
305	637	430.888977050781	33018	2.81663666666667	430.889465332031	22349461	19709
306	585	430.889251708984	33567	2.82598166666667	430.889251708984	22407495	19852
307	600	430.889068603516	37405	2.83554833333333	430.88916015625	22463597	20014
308	742	430.888885498047	41815	2.845215	430.888977050781	22531008	20172
309	586	430.88916015625	44329	2.854795	430.88916015625	22595779	20338
310	617	430.889068603516	29584	2.86439166666667	430.889068603516	22644696	20475
312	731	430.888732910156	31925	2.87738	430.88916015625	22694199	20657
313	575	430.889251708984	35056	2.88642333333333	430.889404296875	22747774	20805
315	679	430.888977050781	35514	2.899605	430.889282226563	22803460	20962
316	598	430.888977050781	38337	2.908685	430.889007568359	22862057	21122
317	576	430.888885498047	36157	2.91848333333333	430.889129638672	22917830	21278
318	625	430.888977050781	34673	2.92769833333333	430.88916015625	22971981	21423
319	679	430.888793945313	40637	2.937375	430.889129638672	23034797	21591
320	642	430.888793945313	33436	2.946925	430.889190673828	23089107	21766
322	591	430.888885498047	32621	2.960055	430.889007568359	23138747	21907
323	644	430.888977050781	31029	2.96911166666667	430.888977050781	23189119	22056
324	657	430.889251708984	28614	2.97873666666667	430.889373779297	23236717	22210
325	597	430.88916015625	39767	2.98827833333333	430.889068603516	23301637	22382
326	632	430.888732910156	38329	2.99782666666667	430.889007568359	23361819	22575
328	696	430.888885498047	33277	3.01098166666667	430.888885498047	23414660	22716
329	527	430.888732910156	32792	3.02008833333333	430.888916015625	23465166	22872
330	594	430.888549804688	39234	3.02961833333333	430.888885498047	23526192	23058
