bin	frequency_per_min	period_min	magnitude
166	15.437521	0.0648	784.79
167	15.530518	0.0644	1011.36
168	15.623515	0.0640	2129.86
169	15.716512	0.0636	1963.27
170	15.809510	0.0633	763.48
171	15.902507	0.0629	211.10
172	15.995504	0.0625	1398.80
173	16.088501	0.0622	420.90
174	16.181498	0.0618	873.83
175	16.274495	0.0614	1839.75
176	16.367492	0.0611	1384.44
177	16.460489	0.0608	1951.20
178	16.553486	0.0604	1343.03
179	16.646484	0.0601	1602.76
180	16.739481	0.0597	2211.73
181	16.832478	0.0594	495.37
182	16.925475	0.0591	1156.13
183	17.018472	0.0588	834.93
184	17.111469	0.0584	847.12
185	17.204466	0.0581	1311.87
186	17.297463	0.0578	1087.29
187	17.390461	0.0575	2047.68
188	17.483458	0.0572	1098.17
189	17.576455	0.0569	771.46
190	17.669452	0.0566	719.04
191	17.762449	0.0563	837.46
192	17.855446	0.0560	458.23
193	17.948443	0.0557	1437.57
194	18.041440	0.0554	505.24
195	18.134437	0.0551	2153.18
196	18.227435	0.0549	912.09
197	18.320432	0.0546	2163.16
198	18.413429	0.0543	862.24
199	18.506426	0.0540	2371.93
200	18.599423	0.0538	1329.14
201	18.692420	0.0535	1717.98
202	18.785417	0.0532	1597.99
203	18.878414	0.0530	1057.51
204	18.971411	0.0527	503.39
205	19.064409	0.0525	1585.72
206	19.157406	0.0522	2329.50
207	19.250403	0.0519	1221.15
208	19.343400	0.0517	1623.39
209	19.436397	0.0514	1635.16
210	19.529394	0.0512	1428.83
211	19.622391	0.0510	1718.46
212	19.715388	0.0507	911.56
213	19.808386	0.0505	732.69
214	19.901383	0.0502	1884.39
215	19.994380	0.0500	1702.74
216	20.087377	0.0498	2002.62
217	20.180374	0.0496	2288.92
218	20.273371	0.0493	1150.70
219	20.366368	0.0491	1445.95
220	20.459365	0.0489	1901.78
221	20.552362	0.0487	350.60
222	20.645360	0.0484	3114.19
223	20.738357	0.0482	1681.35
224	20.831354	0.0480	1503.77
225	20.924351	0.0478	1465.47
226	21.017348	0.0476	610.24
227	21.110345	0.0474	416.77
228	21.203342	0.0472	1850.17
229	21.296339	0.0470	333.88
230	21.389336	0.0468	1770.86
231	21.482334	0.0465	688.19
232	21.575331	0.0463	294.29
233	21.668328	0.0462	1297.73
234	21.761325	0.0460	191.50
235	21.854322	0.0458	1666.07
236	21.947319	0.0456	1295.96
237	22.040316	0.0454	1740.99
238	22.133313	0.0452	566.73
239	22.226311	0.0450	543.36
240	22.319308	0.0448	2041.71
241	22.412305	0.0446	2084.20
242	22.505302	0.0444	2051.26
243	22.598299	0.0443	1275.27
244	22.691296	0.0441	2522.37
245	22.784293	0.0439	1450.98
246	22.877290	0.0437	2993.41
247	22.970287	0.0435	687.07
248	23.063285	0.0434	791.71
249	23.156282	0.0432	483.57
250	23.249279	0.0430	1480.87
251	23.342276	0.0428	94.39
252	23.435273	0.0427	1481.56
253	23.528270	0.0425	2030.25
254	23.621267	0.0423	793.76
255	23.714264	0.0422	1217.62
256	23.807261	0.0420	648.75
257	23.900259	0.0418	685.77
258	23.993256	0.0417	1344.29
259	24.086253	0.0415	1596.43
260	24.179250	0.0414	1057.20
261	24.272247	0.0412	887.84
262	24.365244	0.0410	453.36
263	24.458241	0.0409	675.89
264	24.551238	0.0407	645.38
265	24.644236	0.0406	1259.91
266	24.737233	0.0404	660.76
267	24.830230	0.0403	910.60
268	24.923227	0.0401	886.90
269	25.016224	0.0400	1700.12
270	25.109221	0.0398	1150.09
271	25.202218	0.0397	1400.76
