BasePeak(1221points)	RT	Intensity
359	195.393	45586
360	195.929	79298
361	196.504	55533
362	197.085	48905
363	197.631	40447
364	198.195	46149
365	198.767	46674
366	199.336	49973
367	199.903	42710
368	200.475	59185
369	201.065	50413
370	201.608	42031
371	202.179	49080
372	202.749	48167
373	203.322	55141
374	203.895	43191
375	204.465	48976
376	205.055	50000
377	205.597	53244
378	206.153	48827
379	206.718	54078
380	207.289	42700
381	207.863	46787
382	208.423	46914
383	209.008	45764
384	209.556	56110
385	210.131	42032
386	210.654	254
387	210.918	41469
388	211.466	41629
389	212.037	44623
390	212.562	174
391	212.781	199
392	213.052	61677
393	213.599	45300
394	214.180	35357
395	214.757	38629
396	215.331	36234
397	215.901	41300
398	216.420	272
399	216.681	82160
400	217.231	126
401	217.506	95563
402	218.039	86723
403	218.636	90568
404	219.200	83435
405	219.759	99355
406	220.386	110003
407	221.035	91871
408	221.645	92626
409	222.276	80898
410	222.903	89481
411	223.534	82978
412	224.162	80915
413	224.795	63050
414	225.427	82651
415	226.051	89493
416	226.680	88894
417	227.312	90522
418	227.939	85747
419	228.569	84319
420	229.198	95341
421	229.796	77277
422	230.421	89449
423	231.070	110136
424	231.680	100362
425	232.314	88586
426	232.940	90423
427	233.569	111865
428	234.200	97758
429	234.831	97695
430	235.463	56920
431	236.086	87538
432	236.717	106790
433	237.348	69513
434	237.976	73943
435	238.556	410
436	238.816	100315
437	239.417	92368
438	240.044	99609
439	240.672	100801
440	241.302	110150
441	241.935	101982
442	242.563	71683
443	243.190	52535
444	243.774	49379
445	244.362	50550
446	244.944	48399
447	245.529	57052
448	246.105	49285
449	246.689	53338
450	247.267	45569
451	247.804	102
452	248.023	208
453	248.285	46071
454	248.841	40649
455	249.420	114697
456	249.997	60882
457	250.527	183
458	250.795	48088
459	251.356	46248
460	251.943	49771
461	252.476	169
462	252.749	50290
463	253.299	55787
464	253.873	86766
465	254.502	63091
466	255.076	61104
467	255.656	59530
468	256.181	195
469	256.393	163
470	256.652	44657
471	257.216	44642
472	257.819	40396
473	258.413	38412
474	259.027	45204
475	259.596	39617
476	260.194	36364
477	260.788	39311
478	261.379	39597
479	261.969	44916
480	262.512	160
481	262.726	235
482	262.987	34367
483	263.554	57722
484	264.097	172
485	264.359	36301
486	264.932	39887
487	265.531	39728
488	266.085	184
489	266.345	42919
490	266.859	117
491	267.087	262
492	267.348	50450
493	267.907	62786
494	268.495	84589
495	269.106	57680
496	269.684	50212
497	270.285	55025
498	270.878	51714
499	271.470	55010
500	272.013	205
501	272.228	339
502	272.486	60973
503	273.017	366
504	273.278	130236
505	273.879	111804
506	274.506	107276
507	275.136	90764
508	275.716	220
509	275.978	87445
510	276.582	53635
511	277.157	292
512	277.367	205
513	277.626	47712
514	278.137	167
515	278.351	303
516	278.611	51700
517	279.174	52399
518	279.761	47973
519	280.350	53945
520	280.929	59789
521	281.513	104218
522	282.143	99034
523	282.728	721
524	282.987	63984
525	283.585	118971
526	284.165	103191
527	284.798	93622
528	285.424	98367
529	286.055	114955
530	286.642	338
531	286.865	448
532	287.119	84589
533	287.718	60708
534	288.301	70304
535	288.889	58688
536	289.422	254
537	289.686	58974
538	290.240	49325
539	290.829	51497
540	291.419	94372
541	292.047	85830
542	292.676	57465
543	293.305	46113
544	293.909	44601
545	294.456	88
546	294.729	44169
547	295.287	41535
548	295.885	41124
549	296.437	316
550	296.655	142
551	296.913	57954
552	297.483	49106
553	298.092	46640
554	298.689	43100
555	299.280	42039
556	299.881	37903
557	300.485	36290
558	301.048	92
559	301.322	30168
560	301.843	267
561	302.107	35512
562	302.677	32726
563	303.273	36478
564	303.868	48644
565	304.413	213
566	304.678	45222
567	305.241	40651
568	305.838	34309
569	306.429	42798
570	307.045	34290
571	307.609	39072
572	308.197	36982
573	308.737	212
574	309.031	36214
575	309.541	186
576	309.765	377
577	310.024	47039
578	310.575	41884
579	311.162	34841
580	311.699	300
581	311.967	40026
582	312.518	35957
583	313.112	41630
584	313.703	49644
585	314.249	89
586	314.517	35903
587	315.046	162
588	315.265	250
589	315.530	31405
590	316.089	32001
591	316.681	31648
592	317.286	37566
593	317.873	47882
594	318.473	37941
595	319.092	29545
596	319.628	258
597	319.890	33041
598	320.455	31119
599	321.027	224
600	321.290	25520
601	321.877	25967
602	322.489	41949
603	323.114	30621
604	323.654	209
605	323.917	34331
606	324.438	156
607	324.702	45211
608	325.218	191
609	325.493	37473
610	326.057	38791
611	326.600	185
612	326.815	183
613	327.075	31818
614	327.648	56476
615	328.242	31181
616	328.842	36649
617	329.435	35718
618	330.030	40051
619	330.631	37776
620	331.227	32704
621	331.826	33258
622	332.426	35283
623	332.980	70
624	333.247	28749
625	333.771	151
626	334.030	34907
627	334.549	171
628	334.813	36646
629	335.378	40843
630	335.969	37795
631	336.520	177
632	336.738	400
633	336.994	42751
634	337.517	240
635	337.786	34376
636	338.356	30191
637	338.962	27472
638	339.570	28717
639	340.173	30365
640	340.732	254
641	340.993	27844
642	341.517	145
643	341.781	31556
644	342.351	31304
645	342.959	36650
646	343.563	38505
647	344.159	35848
648	344.766	35635
649	345.365	37921
650	345.963	32946
651	346.513	209
652	346.777	34530
653	347.305	225
654	347.567	28382
655	348.152	36620
656	348.750	35456
657	349.351	64845
658	349.982	67252
659	350.614	60349
660	351.241	61900
661	351.869	62144
662	352.450	346
663	352.712	35531
664	353.273	39476
665	353.811	195
666	354.072	32787
667	354.642	30784
668	355.244	34270
669	355.841	35558
670	356.438	39767
671	357.009	168
672	357.225	283
673	357.439	265
674	357.692	40226
675	358.265	43114
676	358.808	295
677	359.043	237
678	359.304	44109
679	359.826	251
680	360.085	40441
681	360.604	367
682	360.821	265
683	361.085	36957
684	361.656	45069
685	362.202	175
686	362.466	44153
687	362.988	242
688	363.253	39143
689	363.829	40095
690	364.377	231
691	364.642	44954
692	365.207	36771
693	365.757	287
694	366.021	43290
695	366.548	146
696	366.809	41868
697	367.331	251
698	367.595	42730
699	368.176	40226
700	368.782	39042
701	369.380	44357
702	369.983	74996
703	370.593	43858
704	371.199	37166
705	371.808	49337
706	372.405	41067
707	372.963	248
708	373.177	230
709	373.439	38910
710	373.959	206
711	374.221	36403
712	374.744	179
713	374.962	333
714	375.219	54315
715	375.789	41740
716	376.385	46580
717	377.007	40236
718	377.576	39214
719	378.166	38054
720	378.774	38224
721	379.371	34563
722	379.967	44551
723	380.561	46776
724	381.155	47657
725	381.751	48384
726	382.347	42212
727	382.892	178
728	383.155	49046
729	383.723	52868
730	384.314	57108
731	384.900	62238
732	385.447	235
733	385.714	44492
734	386.279	50629
735	386.878	54962
736	387.479	54224
737	388.034	208
738	388.257	107
739	388.519	44970
740	389.119	35569
741	389.704	45832
742	390.312	37717
743	390.906	46499
744	391.506	40558
745	392.110	43705
746	392.721	41161
747	393.276	151
748	393.541	32358
749	394.060	422
750	394.321	52300
751	394.890	50067
752	395.487	41441
753	396.038	173
754	396.300	37938
755	396.874	50986
756	397.467	43004
757	398.067	34630
758	398.669	40808
759	399.221	222
760	399.485	43758
761	400.049	60349
762	400.598	258
763	400.861	50310
764	401.424	68581
765	402.022	43708
766	402.617	48080
767	403.161	260
768	403.436	39509
769	404.002	37530
770	404.548	200
771	404.811	41080
772	405.324	123
773	405.595	40904
774	406.110	256
775	406.381	47690
776	406.944	44310
777	407.542	45307
778	408.133	48720
779	408.726	40679
780	409.327	41846
781	409.915	42613
782	410.459	240
783	410.719	40618
784	411.283	40604
785	411.877	48182
786	412.466	43644
787	413.013	108
788	413.279	39762
789	413.840	32930
790	414.440	39189
791	415.051	38901
792	415.626	40663
793	416.171	179
794	416.433	39617
795	416.998	36741
796	417.596	35859
797	418.195	34578
798	418.799	46881
799	419.348	301
800	419.608	32250
801	420.178	54559
802	420.727	300
803	421.017	41131
804	421.527	408
805	421.787	48751
806	422.296	263
807	422.557	45902
808	423.077	251
809	423.341	49724
810	423.903	48152
811	424.497	51716
812	425.109	43969
813	425.678	48103
814	426.271	40480
815	426.816	220
816	427.099	39811
817	427.660	48202
818	428.207	157
819	428.472	43566
820	429.002	247
821	429.270	47584
822	429.789	386
823	430.050	45931
824	430.611	37514
825	431.153	79
826	431.424	49666
827	431.987	41954
828	432.580	49051
829	433.174	48244
830	433.717	386
831	433.978	52207
832	434.536	50013
833	435.134	50349
834	435.724	52658
835	436.312	49804
836	436.905	50237
837	437.500	48502
838	438.095	41888
839	438.691	40317
840	439.294	34448
841	439.856	298
842	440.129	34977
843	440.694	32117
844	441.294	43643
845	441.890	74497
846	442.523	87213
847	443.150	69291
848	443.779	35838
849	444.408	47338
850	445.028	56162
851	445.595	52225
852	446.180	62372
853	446.764	53937
854	447.351	110412
855	447.888	558
856	448.147	102555
857	448.745	100447
858	449.377	101521
859	450.010	100136
860	450.633	101158
861	451.263	95460
862	451.896	50491
