Scan,ContainScans,BasePeak,MaxIntensity,RetentionTime,MostIntenseMass2Charge,CumulativeIntensity,TotalScans
95,406,430.889007568359,65166,0.900258333333333,430.889373779297,7361138,39152
96,504,430.888824462891,53924,0.9107,430.889068603516,7445212,39656
97,410,430.888854980469,54834,0.921205,430.889129638672,7531764,40066
99,481,430.889221191406,50301,0.935285,430.889282226563,7615122,40547
100,476,430.888763427734,56160,0.945245,430.889221191406,7702146,41023
101,491,430.888854980469,49282,0.955726666666667,430.889068603516,7782229,41514
102,431,430.889373779297,43682,0.966216666666667,430.889404296875,7850448,41945
103,448,430.888916015625,49888,0.976781666666667,430.888885498047,7930411,42393
104,478,430.888946533203,50419,0.987208333333333,430.889282226563,8010504,42871
105,451,430.888977050781,48100,0.9977,430.888916015625,8088176,43322
106,503,430.889007568359,58638,1.00819166666667,430.889282226563,8181008,43825
107,523,430.888916015625,54445,1.01879666666667,430.889068603516,8270393,44348
108,471,430.889343261719,58231,1.02918666666667,430.889312744141,8364310,44819
110,480,430.888885498047,49152,1.04325333333333,430.889221191406,8439763,45299
111,434,430.889038085938,67995,1.053255,430.889282226563,8546670,45733
112,442,430.889404296875,66866,1.06369833333333,430.889404296875,8649207,46175
113,505,430.889190673828,72722,1.07419333333333,430.889404296875,8767773,46680
114,516,430.889282226563,55390,1.0847,430.889373779297,8853841,47196
115,488,430.889251708984,60829,1.09523166666667,430.889251708984,8953905,47684
116,449,430.889251708984,59647,1.105665,430.889373779297,9051211,48133
117,466,430.888824462891,55137,1.11648,430.888885498047,9140880,48599
118,512,430.888854980469,56919,1.12664333333333,430.88916015625,9230277,49111
119,503,430.889221191406,50852,1.1372,430.889373779297,9313584,49614
120,447,430.889312744141,45435,1.14763666666667,430.889343261719,9390204,50061
121,540,430.889068603516,56589,1.15815166666667,430.88916015625,9484406,50601
122,541,430.889190673828,53517,1.16861166666667,430.889282226563,9571163,51142
123,400,430.889282226563,64791,1.17917166666667,430.889251708984,9672297,51542
124,422,430.888549804688,60827,1.18960333333333,430.888671875,9768614,51964
125,386,430.888763427734,60989,1.19960666666667,430.888732910156,9864439,52350
126,380,430.889251708984,55371,1.21022833333333,430.889343261719,9955783,52730
127,462,430.888916015625,50983,1.22063666666667,430.889282226563,10038966,53192
128,472,430.889221191406,60311,1.231115,430.889251708984,10135241,53664
129,414,430.888793945313,64369,1.24159833333333,430.888946533203,10236451,54078
130,413,430.889190673828,66019,1.25195833333333,430.889556884766,10339180,54491
131,404,430.889221191406,70792,1.262525,430.889282226563,10455942,54895
132,383,430.888946533203,65454,1.27295,430.888946533203,10560904,55278
133,432,430.888977050781,58702,1.28377,430.889129638672,10653482,55710
134,421,430.889007568359,57999,1.29393,430.889312744141,10743506,56131
135,484,430.889251708984,61820,1.30447,430.88916015625,10842341,56615
136,473,430.889221191406,54415,1.31490333333333,430.889373779297,10931690,57088
137,499,430.88916015625,68657,1.32539333333333,430.889373779297,11041465,57587
139,476,430.889221191406,73770,1.339485,430.889312744141,11156038,58063
140,517,430.889221191406,73968,1.34978333333333,430.889282226563,11275649,58580
141,439,430.889282226563,67929,1.359925,430.889373779297,11388787,59019
142,500,430.889343261719,83654,1.37045166666667,430.889343261719,11522127,59519
144,438,430.888916015625,71968,1.38492333333333,430.888916015625,11636742,59957
145,528,430.889282226563,73729,1.39487166666667,430.889312744141,11754089,60485
146,446,430.889099121094,67805,1.40537666666667,430.889038085938,11860725,60931
147,491,430.889068603516,74509,1.41593166666667,430.889099121094,11977005,61422
148,497,430.889099121094,71061,1.42635166666667,430.889129638672,12089151,61919
149,487,430.88916015625,61808,1.43685,430.889190673828,12192835,62406
150,441,430.889099121094,78461,1.44735,430.889129638672,12316732,62847
151,479,430.888977050781,65292,1.45787666666667,430.888977050781,12423485,63326
153,447,430.889190673828,64532,1.471855,430.889221191406,12526420,63773
154,369,430.889251708984,68467,1.481815,430.889312744141,12630802,64142
156,470,430.889129638672,59064,1.495875,430.889190673828,12725012,64612
158,417,430.889099121094,66296,1.50935666666667,430.88916015625,12829688,65029
159,477,430.889007568359,63538,1.51933,430.889068603516,12932732,65506
160,387,430.889068603516,60414,1.52984666666667,430.889129638672,13026447,65893
161,475,430.888916015625,49906,1.54030666666667,430.888885498047,13107377,66368
162,475,430.889099121094,51357,1.55090333333333,430.889068603516,13193558,66843
164,386,430.889190673828,84068,1.56485666666667,430.889221191406,13323012,67229
165,435,430.888732910156,77037,1.57483166666667,430.889068603516,13447697,67664
166,500,430.88916015625,59115,1.58532333333333,430.88916015625,13546436,68164
167,435,430.889038085938,56967,1.59582,430.889068603516,13635692,68599
168,492,430.889221191406,55458,1.60633166666667,430.889221191406,13725528,69091
169,471,430.889221191406,54475,1.616775,430.889190673828,13810835,69562
170,469,430.889099121094,61911,1.627275,430.889129638672,13909982,70031
171,487,430.88916015625,69828,1.63778666666667,430.889129638672,14018372,70518
172,449,430.889129638672,59678,1.64831,430.889190673828,14118984,70967
173,435,430.889251708984,54073,1.658745,430.889221191406,14207768,71402
174,479,430.88916015625,65333,1.66923666666667,430.889221191406,14307889,71881
175,443,430.889007568359,49138,1.67973,430.889373779297,14390413,72324
177,390,430.888946533203,61254,1.69395833333333,430.889404296875,14485616,72714
178,441,430.889251708984,72870,1.70392666666667,430.889312744141,14597873,73155
179,523,430.888977050781,61107,1.71441333333333,430.888946533203,14698056,73678
180,387,430.888946533203,74407,1.72506666666667,430.889221191406,14823763,74065
181,466,430.889312744141,56525,1.73539666666667,430.889373779297,14915093,74531
182,412,430.889099121094,69135,1.745885,430.889129638672,15025695,74943
183,496,430.888977050781,60600,1.75636666666667,430.88916015625,15119002,75439
185,435,430.889373779297,60442,1.77044833333333,430.889404296875,15213315,75874
186,413,430.889068603516,61126,1.78041666666667,430.889282226563,15308363,76287
187,516,430.889038085938,62548,1.79089166666667,430.889038085938,15405533,76803
188,450,430.889007568359,71020,1.80147833333333,430.889068603516,15519096,77253
189,452,430.889038085938,64248,1.81187166666667,430.889038085938,15624433,77705
190,449,430.889282226563,60417,1.822365,430.889251708984,15722064,78154
191,445,430.88916015625,75676,1.83286666666667,430.889251708984,15847625,78599
192,438,430.88916015625,73323,1.843425,430.889282226563,15964353,79037
193,510,430.889221191406,100573,1.85385166666667,430.889251708984,16127505,79547
194,438,430.889190673828,98120,1.86434,430.88916015625,16282905,79985
195,463,430.888366699219,82503,1.87486,430.888641357422,16419333,80448
196,472,430.888793945313,86236,1.88432833333333,430.889007568359,16552652,80920
197,426,430.889434814453,77081,1.89363833333333,430.889434814453,16677230,81346
199,411,430.888549804688,66142,1.9077,430.888824462891,16782331,81757
200,446,430.888793945313,66039,1.916865,430.888916015625,16884912,82203
201,502,430.888732910156,57712,1.92565833333333,430.888916015625,16978514,82705
202,491,430.889038085938,62641,1.93494333333333,430.889038085938,17085328,83196
203,474,430.889251708984,54752,1.945415,430.889404296875,17171637,83670
204,687,430.888885498047,49539,1.95595666666667,430.889282226563,17245286,84357
205,516,430.888793945313,45541,1.96533333333333,430.889129638672,17321303,84873
206,447,430.888885498047,66408,1.97471,430.888916015625,17427802,85320
207,537,430.888732910156,81303,1.98424666666667,430.888671875,17554793,85857
208,516,430.889282226563,49377,1.99394,430.8896484375,17635580,86373
209,540,430.888977050781,47704,2.00437166666667,430.88916015625,17712055,86913
210,528,430.88916015625,46423,2.01373666666667,430.889251708984,17784666,87441
211,542,430.889892578125,40729,2.02316833333333,430.890014648438,17849831,87983
215,662,430.888793945313,36622,2.04448666666667,430.889068603516,17912384,88645
216,598,430.88916015625,40268,2.05327166666667,430.889099121094,17977804,89243
217,420,430.888366699219,54087,2.06270833333333,430.888580322266,18067452,89663
218,524,430.889312744141,45939,2.07209333333333,430.889526367188,18145137,90187
219,425,430.889038085938,55898,2.08252666666667,430.889251708984,18232266,90612
220,562,430.889221191406,52538,2.09304,430.889434814453,18314440,91174
221,467,430.888977050781,55291,2.10351833333333,430.889373779297,18401946,91641
222,427,430.889282226563,45695,2.114065,430.889434814453,18475898,92068
223,592,430.889678955078,36635,2.12451,430.889678955078,18534457,92660
224,406,430.889251708984,51351,2.13500833333333,430.889251708984,18613272,93066
225,474,430.889129638672,56659,2.145505,430.889129638672,18708030,93540
226,511,430.88916015625,78410,2.15603,430.88916015625,18829399,94051
227,445,430.889038085938,55306,2.16647666666667,430.889190673828,18920097,94496
228,410,430.889068603516,56331,2.17695166666667,430.88916015625,19009867,94906
229,434,430.889373779297,56369,2.18745833333333,430.889312744141,19098294,95340
230,464,430.888824462891,51504,2.19798833333333,430.88916015625,19178947,95804
231,492,430.889129638672,68998,2.20843666666667,430.889129638672,19291354,96296
232,451,430.888946533203,51125,2.21892833333333,430.88916015625,19372359,96747
233,431,430.889007568359,65104,2.229505,430.888916015625,19474863,97178
234,565,430.888793945313,36084,2.23994833333333,430.888854980469,19530252,97743
235,667,430.889068603516,35480,2.249435,430.889099121094,19588340,98410
236,643,430.888885498047,31326,2.258975,430.889007568359,19640082,99053
237,701,430.888641357422,30481,2.26847833333333,430.889129638672,19688859,99754
238,538,430.888549804688,37869,2.27808833333333,430.888977050781,19746773,100292
239,735,430.888641357422,25488,2.28757666666667,430.889038085938,19793034,101027
240,662,430.888641357422,32772,2.29717666666667,430.889007568359,19847329,101689
241,612,430.888977050781,30186,2.30667,430.889099121094,19896621,102301
243,659,430.888793945313,33076,2.31988166666667,430.889221191406,19949792,102960
244,644,430.88916015625,27664,2.32893166666667,430.889068603516,19997716,103604
245,610,430.888885498047,26069,2.33849833333333,430.889190673828,20040502,104214
246,752,430.888732910156,24598,2.348095,430.889007568359,20084422,104966
247,676,430.888641357422,23287,2.35777666666667,430.889038085938,20123806,105642
250,651,430.888732910156,28430,2.37455333333333,430.889099121094,20170298,106293
253,456,430.889221191406,50900,2.391125,430.889221191406,20250052,106749
254,485,430.889129638672,48131,2.401185,430.889099121094,20325496,107234
256,438,430.889129638672,43519,2.41508666666667,430.889190673828,20394656,107672
257,574,430.888885498047,30029,2.42512,430.888946533203,20443751,108246
258,580,430.88916015625,30638,2.43456833333333,430.889129638672,20492400,108826
